"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","67","test_mouse_hover[chrome]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"","46","test_login[chrome-admin-admin123]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"","44","test_login[chrome-user-user123]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"","57","test_delete_post","tests","2026-06-08","passed","2026-06-08","TestApi","test_api","",""
"","48","test_confirmation_alert[chrome]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"
Test alert button functionality
:param page:
:return:
","49","test_alert_button[chrome]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"
Test for checking single file upload functionality
:param page:
:return:
","22","test_upload_single_file[chrome]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"","26","test_get_single_post","tests","2026-06-08","passed","2026-06-08","TestApi","test_api","",""
"","55","test_prompt_alert[chrome]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"","122","test_create_post","tests","2026-06-08","passed","2026-06-08","TestApi","test_api","",""
"","1630","test_navigation[chrome]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"","102","test_scrolling_drop_down[chrome]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"","126","test_get_all_posts","tests","2026-06-08","passed","2026-06-08","TestApi","test_api","",""
"","131","test_update_post","tests","2026-06-08","passed","2026-06-08","TestApi","test_api","",""
"","28","test_price_of_product[chrome]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"","722","test_fill_data[chrome]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
"
Handle new tab
opening and switching to it
:param page:
:return:
","986","test_new_tab[chrome]","tests","2026-06-08","passed","2026-06-08","TestAutomationPractise","test_automation_practise","",""
